source,target
J. Theodore Cox,David Griffeath
Philip Brown,Jim E. Griffin
Felix Abramovich,Vadim Grinshtein
Jaeil Ahn,Stephen Gruber
Malay Ghosh,Stephen Gruber
Wing Fung,Hong Gu
Subhashis Ghosal,Jiezhun Gu
Ling-yau Chan,Ying-nan Guan
James A. Calvin,Yongtao 1 Guan
Daniel Commenges,Jeremie Guedj
Dennis W. Buckman,Patricia M. Guenther
Raymond Carroll,Patricia M. Guenther
Kevin W. Dodd,Patricia M. Guenther
Laurence Freedman,Patricia M. Guenther
Holger Dette,Matthias Guhlich
Frank Bretz,Volker Guiard
Patrick Cattiaux,Arnaud Guillin
Randal Douc,Arnaud Guillin
Jan Beirlant,Armelle Guillou
Jean Diebolt,Armelle Guillou
Goedele Dierckx,Armelle Guillou
Laurent Gardes,Armelle Guillou
Evarist Giné,Armelle Guillou
Stéphane Girard,Armelle Guillou
Yuri Goegebeur,Armelle Guillou
Fabienne Comte,Agathe Guilloux
Gérard Ben Arous,Alice Guionnet
Amir Dembo,Alice Guionnet
Ruth Etzioni,Roman Gulati
Patrick S. Carmack,Richard F. Gunst
Tian Chen,Douglas Gunzler
Wing Fung,Jianhua Guo
Zhi Geng,Jianhua Guo
Zhidong Bai,Meihui Guo
M. Bhaskara Rao,Wenge Guo
Morton B. Brown,Wensheng Guo
Ming Dai,Wensheng Guo
Jim Albert,Arjun Gupta
Taras Bodnar,Arjun Gupta
Tuhao Chen,Arjun Gupta
Armando Domínguez-molina,Arjun Gupta
Yasunori Fujikoshi,Arjun Gupta
Graciela González-farías,Arjun Gupta
George Gabor,R. P. Gupta
Olcay Akman,Ramesh Gupta
M. E. Ghitany,Ramesh Gupta
Pushpa L. Gupta,Ramesh Gupta
Ramesh Gupta,Rameshwar Gupta
Kashinath Chatterjee,Sudhir Gupta
Kuey Chung Choi,Sudhir Gupta
Ashish Das,Sudhir Gupta
Ashish Das,V. K. Gupta
Itai Benjamini,Ori Gurel-gurevich
Lloyd J. Edwards,Matthew J. Gurka
Osebekwin Asiribo,John Gurland
Igor Burstyn,Paul Gustafson
Sander Greenland,Paul Gustafson
José A. Díaz-garcía,Ramón Gutiérrez Jáimez
Raymond Carroll,Roberto G. Gutierrez
Werner Brannath,Georg Gutjahr
Norman Draper,Irwin Guttman
Michael Evans,Irwin Guttman
Zvi Gilula,Irwin Guttman
Janis Abkowitz,Peter Guttorp
Jan Beirlant,László Györfi
Luc Devroye,László Györfi
Huiman X. Barnhart,Michael Haber
Zvi Gilula,Shelby J. Haberman
Nader Ebrahimi,Mohamed Habibullah
Andreas Christmann,Robert Hable
Christophe Croux,Gentiane Haesbroeck
Holger Dette,Linda M. Haines
Patrick S. Carmack,Robert W. Haley
Richard F. Gunst,Robert W. Haley
Sujuan Gao,Kathleen Hall
Niall H. Anderson,Peter Hall
Rudolf Beran,Peter Hall
James Booth,Peter Hall
Raymond Carroll,Peter Hall
Yao-ban Chan,Peter Hall
Song Xi Chen,Peter Hall
Ming-yen Cheng,Peter Hall
Edwin Choi,Peter Hall
Aurore Delaigle,Peter Hall
Thomas Diciccio,Peter Hall
Kim-anh Do,Peter Hall
Jianqing Fan,Peter Hall
Andrey Feuerverger,Peter Hall
Nicholas I. Fisher,Peter Hall
Irène Gijbels,Peter Hall
Youssef Benghabrit,Marc Hallin
Jean-marie Dufour,Marc Hallin
Faouzi El Bantli,Marc Hallin
Bernard Garel,Marc Hallin
Haitao Chu,M. Elizabeth Halloran
Michael Haber,M. Elizabeth Halloran
David Demets,Max Halperin
Narayanaswamy Balakrishnan,David Han
Niall M. Adams,David Hand
Richard J. Bolton,David Hand
Martin Crowder,David Hand
Adrian Dobra,Chris Hans
Adam J. Branscum,Timothy Hanson
Ying 1 Chen,Wolfgang Härdle
Peter Hall,Wolfgang Härdle
Barry R. Davis,Robert J. Hardy
Arne Bathke,Solomon Harrar
Arjun Gupta,Solomon Harrar
Thomas R. Fleming,David Harrington
Ayanendranath Basu,Ian R. Harris
Brent D. Burch,Ian R. Harris
Marc Aerts,Jeffrey Hart
Gerda Claeskens,Jeffrey Hart
Randy Eubank,Jeffrey Hart
Anoop Chaturvedi,Hikaru Hasegawa
Wolfgang Bischoff,Enkelejd Hashorva
Mir Masoom Ali,Khatab M. Hassanein
Andreas Buja,Trevor Hastie
William Fithian,Trevor Hastie
Jerome Friedman,Trevor Hastie
Bradley Carlin,Laura Hatfield
Sharon Anderson,Walter W. Hauck
Allan Donner,Walter W. Hauck
Pascal Ah-kine,Tony Hayter
Frank Bretz,Tony Hayter
Tarn Duong,Martin Hazelton
Arup Bose,Rajat Subhra Hazra
Mingyao Ai,Shuyuan He
Zhidong Bai,Xuming He
