source,target
Joan Chmiel,Alvaro Muñoz
Haitao Chu,Alvaro Muñoz
Donald R. Hoover,Alvaro Muñoz
L P Jacobson,Alvaro Muñoz
Lawrence Kingsley,Alvaro Muñoz
Edgar Brunner,Ulrich Munzel
Laurence Freedman,Havi Murad
Daniel Almirall,Susan Murphy
Eric Laber,Susan Murphy
Heather G. Allore,Terrence E. Murphy
Adin-cristian Andrei,Susan Murray
Chiu-hsieh Hsu,Susan Murray
Paddy Farrington,Patrick Musonda
Paramjit Gill,Saman Muthukumarana
Dominique Declerck,Timothy Mutsvari
Emmanuel Lesaffre,Timothy Mutsvari
Stephen W. Duffy,Jonathan Myles
Christos Koukouvinos,Kalliopi Mylona
Klaus Fleischmann,Leonid Mytnik
Achim Klenke,Leonid Mytnik
Dennis Cook,Christopher Nachtsheim
Bradley Jones,Christopher Nachtsheim
William Li,Christopher Nachtsheim
Arjun Gupta,Saralees Nadarajah
Samuel Kotz,Saralees Nadarajah
Jiaona Li,Saralees Nadarajah
Xin Liao,Saralees Nadarajah
Gérard Govaert,Mohamed Nadif
Mohammad Arashi,Daya K. Nagar
Arjun Gupta,Daya K. Nagar
Narayanaswamy Balakrishnan,Hideki Nagatsuka
Toshinari Kamakura,Hideki Nagatsuka
Holger Dette,Jan Nagel
Jayant V. Deshpandé,Uttara V. Naik-nimbalkar
Amal Helu,Dayanand N. Naik
Ravindra Khattree,Dayanand N. Naik
Leslie Cope,Daniel Q. Naiman
Todd A. Alonzo,Christos T. Nakas
Siobán D. Harlow,Bin Nan
Xihong Lin,Bin Nan
S. S. Alam,Asok K. Nanda
Subarna Bhattacharjee,Asok K. Nanda
Suchismita Das,Asok K. Nanda
Kanchan Jain,Asok K. Nanda
Chanchal Kundu,Asok K. Nanda
Debasis Kundu,Swagata Nandi
Mark Meerschaert,Erkan Nane
Joseph Mckean,Joshua Naranjo
Kalyan Das,Malay Naskar
Karen Messer,Loki Natarajan
Charles Mcculloch,Ranjini Natarajan
Garrett Fitzmaurice,Sundar Natarajan
Stuart Lipsitz,Sundar Natarajan
Narayanaswamy Balakrishnan,Jorge Navarro
Daniel Cooley,Philippe Naveau
Armelle Guillou,Philippe Naveau
Joseph Cavanaugh,Andrew Neath
Galin L. Jones,Ronald Neath
David Dunson,Brian Neelon
Youngjo Lee,John Nelder
Don Edwards,Kerrie P. Nelson
Anatoli Juditsky,Arkadi Nemirovski
Noomen Ben Ghorbal,Johanna Nešlehová
Christian Genest,Johanna Nešlehová
Konrad Behnen,Georg Neuhaus
Günter Heimann,Georg Neuhaus
Ross Boylan,John Neuhaus
Walter W. Hauck,John Neuhaus
John D. Kalbfleisch,John Neuhaus
Charles Mcculloch,John Neuhaus
Ludwig A. Hothorn,Markus Neuhäuser
Jens-peter Kreiss,Michael H. Neumann
Anne Leucht,Michael H. Neumann
Holger Dette,Natalie Neumeyer
Denis Larocque,Jaakko Nevalainen
Laurens De Haan,Cláudia Neves
Isabel Fraga Alves,Cláudia Neves
Stephen T. Buckland,Ken B. Newman
Peter Filzmoser,Neyko Neykov
Peter Filzmoser,Plamen Nikolov Neytchev
Neyko Neykov,Plamen Nikolov Neytchev
Ngai Hang Chan,Chi Tim Ng
Harry Joe,Chi Tim Ng
Richard J. Cook,Edmund T. M. Ng
Narayanaswamy Balakrishnan,Hon Keung Tony Ng
Ping Shing Chan,Hon Keung Tony Ng
Hengjian Cui,Kai W. Ng
Xuming He,Kai W. Ng
Geoffrey J. Mclachlan,Shu Kay Ng
Robert Kohn,Tran Minh Ngoc
Chenlei Leng,Tran Minh Ngoc
Raymond Carroll,Danh V. Nguyen
Lorien S. Dalrymple,Danh V. Nguyen
Sandra M. Mohammed,Danh V. Nguyen
Jiming Jiang,Thuan Nguyen
Arjun Gupta,Truc T. Nguyen
Dennis Cook,Liqiang Ni
James E. Hines,James Nichols
Evarist Giné,Richard Nickl
Augustine Kong,Dan Nicolae
Spyridon J. Hatjispyros,Theodoros Nicoleris
Haitao Chu,Lei Nie
Charmaine Dean,Jason D. Nielsen
Oliver Linton,Jens Nielsen
Enno Mammen,Jens Nielsen
María Dolores Martínez-miranda,Jens Nielsen
Bent Nielsen,Jens Nielsen
Juan Antonio Cuesta,Alicia Nieto-reyes
V. K. Gupta,A. K. Nigam
Pranesh Kumar,A. K. Nigam
Harry Joe,Aristidis K. Nikoloulopoulos
Dimitris Karlis,Aristidis K. Nikoloulopoulos
Haijun Li,Aristidis K. Nikoloulopoulos
Kai Tai Fang,Jianhui Ning
Yong 1 Chen,Jing Ning
Xuelin Huang,Jing Ning
Stefano Favaro,Bernardo Nipoti
Antonio Lijoi,Bernardo Nipoti
Abdulkadir Hussein,Sévérien Nkurunziza
Ollivier Hyrien,Mark Noble
José E. Chacón,Agustín G. Nogales
Jesús Montanero,Agustín G. Nogales
Anouar El Ghouch,Hohsuk Noh
Youngjo Lee,Maengseok Noh
Jari Miettinen,Klaus Nordhausen
Soumendra Nath Lahiri,Dan Nordman
Thomas Mathew,Kenneth Nordström
William T. M. Dunsmuir,David Nott
Mark Fielding,David Nott
Robert Kohn,David Nott
Anthony Kuk,David Nott
Chenlei Leng,David Nott
Jialiang Li,David Nott
Lucy Marshall,David Nott
Tran Minh Ngoc,David Nott
Angela Dean,William Notz
Doyo G. Enki,Angela Noufaily
Paddy Farrington,Angela Noufaily
Laurence Freedman,Ilya Novikov
Michael Klass,Krzysztof Nowicki
Petros Dellaportas,Ioannis Ntzoufras
David Draper,Ioannis Ntzoufras
Jonathan J. Forster,Ioannis Ntzoufras
Dimitris Fouskakis,Ioannis Ntzoufras
Maria Kateri,Ioannis Ntzoufras
Elisa Alòs,David Nualart
Yaozhong Hu,David Nualart
Jorge A. León,David Nualart
Ely Merzbach,David Nualart
Annie Millet,David Nualart
Robert C. Dalang,Eulalia Nualart
Davar Khoshnevisan,Eulalia Nualart
Erkki P. Liski,Tapio Nummi
Kerrie Mengersen,Darfiana Nur
Thomas C. M. Lee,Doug Nychka
David Dunson,Sean Obrien
Mark Conaway,John Oquigley
Lei Liu,John Oquigley
Loki Natarajan,John Oquigley
Richard Lockhart,Federico Oreilly
Janet F. Eary,Finbarr Osullivan
Amita Manatunga,David Oakes
Alexei Dmitrienko,Walt Offen
Yongdai Kim,Hee-seok Oh
Thomas C. M. Lee,Hee-seok Oh
Doug Nychka,Hee-seok Oh
Yasunori Fujikoshi,Megu Ohtaki
Masafumi Akahira,Nao Ohyauchi
Christophe Croux,Hannu Oja
Thomas P. Hettmansperger,Hannu Oja
Visa Koivunen,Hannu Oja
Denis Larocque,Hannu Oja
Jari Miettinen,Hannu Oja
Jyrki Möttönen,Hannu Oja
Jaakko Nevalainen,Hannu Oja
A. Niinimaa,Hannu Oja
Klaus Nordhausen,Hannu Oja
Jukka Nyblom,Hannu Oja
J. T. Alcalá,Jorge L. Ojeda Cabrera
J. A. Cristóbal Cristóbal,Jorge L. Ojeda Cabrera
Taras Bodnar,Yarema Okhrin
Heleno Bolfarine,Juan F. Olivares-pacheco
Héctor W. Gómez,Juan F. Olivares-pacheco
Jenny Baglivo,Donald Olivier
Christophe Croux,Esa Ollila
Visa Koivunen,Esa Ollila
Hannu Oja,Esa Ollila
Louis Gordon,Richard Olshen
Randal Douc,Jimmy Olsson
Éric Moulines,Jimmy Olsson
Wensheng Guo,Hernando Ombao
Irène Gijbels,Marek Omelka
Richard Johnson,Yasuhiro Omori
Jouchi Nakajima,Yasuhiro Omori
Gerda Claeskens,Jean Opsomer
Mario Francisco-fernandez,Jean Opsomer
F. Jay Breidt,Jean Opsomer
Göran Kauermann,Jean Opsomer
Vicente G. Cancho,Edwin Ortega
Gauss M. Cordeiro,Edwin Ortega
Elizabeth M. Hashimoto,Edwin Ortega
Artur Lemonte,Edwin Ortega
Carmen Fernández,Jacek Osiewalski
Dominique Fourdrinier,Idir Ouassou
Youn-min Chou,Donald B. Owen
Jesús Montanero,José A. Oyola
Agustín G. Nogales,José A. Oyola
Thomas P. Hettmansperger,Omer Ozturk
Steven Maceachern,Omer Ozturk
Fabrizia Mealli,Barbara Pacini
Sneh Gulati,W. J. Padgett
Y. L. Lio,W. J. Padgett
Diane T. Mcnichols,W. J. Padgett
Dani Gamerman,Marina S. Paez
Jenny Baglivo,Marcello Pagano
Marco Bonetti,Marcello Pagano
Victor De Gruttola,Marcello Pagano
Eugene Litvak,Marcello Pagano
Donald Olivier,Marcello Pagano
Ronald Butler,Robert Paige
Marc Hallin,Davy Paindaveine
Christophe Ley,Davy Paindaveine
Hannu Oja,Davy Paindaveine
Bo Hu,Mari Palta
Zhigang Bao,Guangming Pan
Binbin Chen,Guangming Pan
Baiqi Miao,Guangming Pan
Kai Tai Fang,Jianxin Pan
Rick Chappell,Wei 1 Pan
Kyeong S. Jeong,Wei 1 Pan
Arkady Khodursky,Wei 1 Pan
Taizhong Hu,Xiaoqing Pan
Michael Haber,Yi Pan
Henrick J. Malik,B. N. Pandey
Zhensheng Huang,Zhen Pang
Bingqing Lin,Zhen Pang
France Mentré,Xavière Panhard
K. Krishnamoorthy,Maruthy K. Pannala
Marco Di Marzio,Agnese Panzera
Simon Broda,Marc Paolella
Ronald Butler,Marc Paolella
Stefan Mittnik,Marc Paolella
John Oquigley,Xavier Paoletti
Malay Ghosh,Georgios Papageorgiou
Kosmas Ferentinos,Takis Papaioannou
Jens-peter Kreiss,Efstathios Paparoditis
Michael H. Neumann,Efstathios Paparoditis
Alexandros Beskos,Omiros Papaspiliopoulos
Paul Fearnhead,Omiros Papaspiliopoulos
Markos Koutras,Stavros Papastavridis
Tianxi Cai,Layla Parast
Wenceslao González-manteiga,Juan Carlos Pardo-fernández
Julio Angel Pardo,Leandro Pardo
Ayanendranath Basu,Leandro Pardo
Noel Cressie,Leandro Pardo
María Del Carmen Pardo,Leandro Pardo
Arjun Gupta,Leandro Pardo
Nirian Martín,Leandro Pardo
Maria Luisa Menéndez,Leandro Pardo
Domingo Morales,Leandro Pardo
David Nualart,Etienne Pardoux
Hyemi Choi,Byeong U. Park
Peter Hall,Byeong U. Park
Wolfgang Härdle,Byeong U. Park
Seok-oh Jeong,Byeong U. Park
M. C. Jones,Byeong U. Park
Choongrak Kim,Byeong U. Park
Tae Yoon Kim,Byeong U. Park
Woochul Kim,Byeong U. Park
Eun Ryung Lee,Byeong U. Park
Young K. Lee,Byeong U. Park
Enno Mammen,Byeong U. Park
James S. Marron,Byeong U. Park
Jan Hannig,Cheolwoo Park
Jib Huh,Cheolwoo Park
Kee-hoon Kang,Cheolwoo Park
James S. Marron,Cheolwoo Park
Fred Huffer,Cheolyong Park
Tae Yoon Kim,Cheolyong Park
Angela Dean,Dongkwon Park
Sun Young Hwang,J. A. Park
Tae Yoon Kim,Jeong Soo Park
David Dunson,Juhyun Park
Eitan Greenshtein,Junyong Park
Dohwan Park,Junyong Park
Trevor Hastie,Mee Young Park
Jaewon Lee,Mira Park
Bhramar Mukherjee,Sung Kyun Park
Charles S. Davis,Taesung Park
Seungyeoun Lee,Taesung Park
Chul Gyu Park,Taesung Park
John D. Kalbfleisch,Yongseok Park
Laurence Freedman,Mahesh K. B. Parmar
Sining Chen,Giovanni Parmigiani
Merlise Clyde,Giovanni Parmigiani
Leslie Cope,Giovanni Parmigiani
Francesca Dominici,Giovanni Parmigiani
Elizabeth Garrett,Giovanni Parmigiani
Edwin S. Iversen,Giovanni Parmigiani
Peter Müller,Giovanni Parmigiani
V. K. Gupta,Rajender Parsad
B. N. Mandal,Rajender Parsad
Jafar Ahmadi,Ahmad Parsian
Nasser Davarzani,Ahmad Parsian
Mahdi Doostparast,Ahmad Parsian
Mohammad Jafari Jozani,Ahmad Parsian
Éric Marchand,Ahmad Parsian
Nader Nematollahi,Ahmad Parsian
Tim Friede,Nick Parsons
Garrett Fitzmaurice,Michael Parzen
Joseph Ibrahim,Michael Parzen
Stuart Lipsitz,Michael Parzen
Antonio Cuevas,Beatriz Pateiro-lópez
Cyrus Mehta,Nitin Patel
Anirban Bhattacharya,Debdeep Pati
David Dunson,Debdeep Pati
Amarjot Kaur,Ganapati P. Patil
Peter Hall,Prakash Patil
Dipak Dey,Kaushik Patra
Rabi Bhattacharya,Vic Patrangenaru
Kanti V. Mardia,Vic Patrangenaru
Leonhard Held,Michaela Paul
Asok K. Nanda,Prasanta Paul
Dianliang Deng,Sudhir Paul
Gauss M. Cordeiro,Gilberto A. Paula
Francisco José A. Cysneiros,Gilberto A. Paula
Manuel Galea,Gilberto A. Paula
Víctor Leiva,Gilberto A. Paula
Edwin Ortega,Gilberto A. Paula
Frank Konietschke,Markus Pauly
Andrew Copas,Menelaos Pavlou
Woojoo Lee,Yudi Pawitan
Paul Lichtenstein,Yudi Pawitan
Finbarr Osullivan,Yudi Pawitan
Philip Brown,Clive Payne
Larry J. Brant,Jay D. Pearson
Christopher Morrell,Jay D. Pearson
Wesley Johnson,Larry Pearson
Ori Davidov,Shyamal Peddada
Ravindra Khattree,Shyamal Peddada
Dimitris Karlis,Xanthi Pedeli
Raymond Carroll,David Pee
Mitchell Gail,David Pee
Jérôme Dedecker,Magda Peligrad
Florence Merlevède,Magda Peligrad
Russell Lyons,Robin Pemantle
Andrés M. Alonso,Daniel Peña
Pedro Galeano,Daniel Peña
Irwin Guttman,Daniel Peña
Ana Justel,Daniel Peña
Inmaculada Aban,Edsel Peña
Juan R. Gonzalez,Edsel Peña
Joshua D. Habiger,Edsel Peña
Myles Hollander,Edsel Peña
Peter Hall,Spiridon Penev
Ramesh Gupta,Cheng Peng
Jianqing Fan,Heng Peng
Gaorong Li,Heng Peng
Chu In Charles Lee,Jianan Peng
Lin 1 Liu,Jianan Peng
Ngai Hang Chan,Liang Peng
Song Xi Chen,Liang Peng
Ming-yen Cheng,Liang Peng
Laurens De Haan,Liang Peng
Huijun Feng,Liang Peng
Yun Gong,Liang Peng
Peter Hall,Liang Peng
Deyuan Li,Liang Peng
Zhouping Li,Liang Peng
Jason Fine,Limin Peng
Yijian Huang,Limin Peng
Ruosha Li,Limin Peng
Amita Manatunga,Limin Peng
Francesca Dominici,Roger D. Peng
Yi Niu,Yingwei Peng
Jiaona Li,Zuoxiang Peng
Xin Liao,Zuoxiang Peng
Saralees Nadarajah,Zuoxiang Peng
David Dunson,Michael Pennell
Francesco Bartolucci,Fulvia Pennoni
Luc Devroye,Clark S. Penrod
Rida Benhaddou,Marianna Pensky
Daniela De Canditiis,Marianna Pensky
Todd A. Alonzo,Margaret Pepe
Tianxi Cai,Margaret Pepe
Ziding Feng,Margaret Pepe
Thomas R. Fleming,Margaret Pepe
Patrick Heagerty,Margaret Pepe
Ying 1 Huang,Margaret Pepe
Holly Janes,Margaret Pepe
Wendy Leisenring,Margaret Pepe
Gary Longton,Margaret Pepe
Thomas Lumley,Margaret Pepe
Chaya S. Moskowitz,Margaret Pepe
Holger Dette,Andrey Pepelyshev
Viatcheslav Melas,Andrey Pepelyshev
Itai Benjamini,Yuval Peres
Amir Dembo,Yuval Peres
Jian 1 Ding,Yuval Peres
Nina Gantert,Yuval Peres
Olle Häggström,Yuval Peres
Alexander Holroyd,Yuval Peres
Russell Lyons,Yuval Peres
Jason Miller,Yuval Peres
Robin Pemantle,Yuval Peres
Graciela Boente,Ana Pérez-gonzález
Wenceslao González-manteiga,Ana Pérez-gonzález
José E. Chacón,Paloma Pérez
Jesús Montanero,Paloma Pérez
Agustín G. Nogales,Paloma Pérez
José A. Oyola,Paloma Pérez
Elías Moreno,Luis Pericchi
Maria Eglee Perez,Luis Pericchi
Martin Barlow,Edwin Perkins
J. Theodore Cox,Edwin Perkins
Donald Dawson,Edwin Perkins
Carl Mueller,Edwin Perkins
Leonid Mytnik,Edwin Perkins
Robert H. Lyles,Neil J. Perkins
Steen Andersson,Michael D. Perlman
Sanjay Chaudhuri,Michael D. Perlman
Mathias Drton,Michael D. Perlman
David Madigan,Michael D. Perlman
Christopher Genovese,Marco Perone-pacifico
Narayan C. Giri,François Perron
Simon Guillotte,François Perron
Éric Marchand,François Perron
Anthony C. Atkinson,Domenico Perrotta
Ajay Jasra,Adam Persing
Steven Maceachern,Mario Peruggia
S. Hedayat,H. Pesotan
Ivette Gomes,Dinis Pestana
Keith R. Abrams,Jaime L. Peters
David R. Jones,Jaime L. Peters
Stavros Kourouklis,Constantinos Petropoulos
Christopher C. Drovandi,Anthony Pettitt
Nial Friel,Anthony Pettitt
Robert D. Henderson,Anthony Pettitt
Pamela A. Mccombe,Anthony Pettitt
James Mcgree,Anthony Pettitt
Clare A. Mcgrory,Anthony Pettitt
Toshihiro Abe,Arthur Pewsey
M. C. Jones,Arthur Pewsey
Paul Deheuvels,Dietmar Pfeifer
Efstathia Bura,Ruth Pfeiffer
Mitchell Gail,Ruth Pfeiffer
David Pee,Ruth Pfeiffer
R Detels,J P Phair
Donald R. Hoover,J P Phair
Herold Dehling,Walter Philipp
Manfred Denker,Walter Philipp
Frédéric Lavancier,Anne Philippe
Demetrios L. Antzoulakos,Andreas N. Philippou
Frosso S. Makri,Andreas N. Philippou
Mitchell Gail,Steven Piantadosi
Paolo Baldi,Dominique Picard
Peter Hall,Dominique Picard
Iain Johnstone,Dominique Picard
Gérard Kerkyacharian,Dominique Picard
Domenico Marinucci,Dominique Picard
Mathilde Mougeot,Dominique Picard
Jana Jurečková,Jan Picek
Lan Huang,Linda Pickle
David Dunson,Natesh Pillai
Debdeep Pati,Natesh Pillai
Holger Dette,Kay Pilz
Félix Belzunce,José F. Pinar
Aluísio Pinheiro,Hildete P. Pinheiro
Frank Bretz,José Pinheiro
Holger Dette,José Pinheiro
Patrice Abry,Vladas Pipiras
Changryong Baek,Vladas Pipiras
Gustavo Didier,Vladas Pipiras
Torben Martinussen,Christian Bressen Pipper
Graciela Boente,Ana Pires
João A. Branco,Ana Pires
Robert Kohn,Michael Pitt
Ken Kleinman,Richard Platt
Martin Kulldorff,Richard Platt
Erica E. M. Moodie,Robert W. Platt
Abdel Babiker,Stuart J. Pocock
Janet H. Darbyshire,Stuart J. Pocock
Nancy Geller,Stuart J. Pocock
Michael D. Hughes,Stuart J. Pocock
Joseph L. Gastwirth,Marvin J. Podgor
Saralees Nadarajah,Tibor Pogány
Robin Henderson,Maja Pohar Perme
Arthur Berg,Dimitris Politis
Carsten Jentsch,Dimitris Politis
Tucker Mcelroy,Dimitris Politis
Timothy L. Mcmurry,Dimitris Politis
Efstathios Paparoditis,Dimitris Politis
Louis Gordon,Moshe Pollak
Cavell Brownie,Kenneth Pollock
James E. Hines,Kenneth Pollock
James Nichols,Kenneth Pollock
James L. Norris,Kenneth Pollock
Bradley Carlin,Nicholas Polson
Peter M. Bentler,Wai-yin Poon
Sikyum Lee,Wai-yin Poon
Wai-yin Poon,Yat Sun Poon
Sylvie Chevret,Raphaël Porcher
Aurélien Latouche,Raphaël Porcher
Jerzy K. Baksalary,Paweł R. Pordzik
Xuming He,Stephen Portnoy
Roger Koenker,Stephen Portnoy
Peter Bauer,Martin Posch
Werner Brannath,Martin Posch
Frank Bretz,Martin Posch
Franz Koenig,Martin Posch
Kenneth G. Manton,Richard F. Potthoff
Michael Daniels,Mohsen Pourahmadi
Jianhua Huang,Mohsen Pourahmadi
Mehdi Maadooliat,Mohsen Pourahmadi
Wenceslao González-manteiga,José M. Prada-sánchez
María José Lombardía,José M. Prada-sánchez
Gabriel Huerta,Raquel Prado
Andrew D. Krystal,Raquel Prado
Himadri Ghosh,Prajneshu
Ondřej Chochola,Zuzana Prášková-vízková
Marie Hušková,Zuzana Prášková-vízková
Victor H. Lachos,Marcos O. Prates
Juanjuan Fan,Ross Prentice
Malka Gorfine,Ross Prentice
Li Hsu,Ross Prentice
John D. Kalbfleisch,Ross Prentice
Mark Mason,Ross Prentice
A. E. Ades,Anne M. Presanis
Daniela De Angelis,Anne M. Presanis
Chrys Caroni,Philip Prescott
Angela Dean,Philip Prescott
Norman Draper,Philip Prescott
Susan Lewis,Philip Prescott
Ralph Mansson,Philip Prescott
Peter Hall,Brett Presnell
Holger Dette,Philip Preuß
Stephen W. Duffy,Teresa C. Prevost
Daniel Peña,Francisco J. Prieto
Gersende Fort,Pierre Priouret
Éric Moulines,Pierre Priouret
Nicolai Bissantz,Katharina Proksch
Philip J. Boland,Frank Proschan
Emad El-neweihi,Frank Proschan
Myles Hollander,Frank Proschan
Kumar Joag-dev,Frank Proschan
Naftali A. Langberg,Frank Proschan
Erica Brittain,Michael Proschan
Michael P. Fay,Michael Proschan
Dean Follmann,Michael Proschan
Nancy Geller,Michael Proschan
Irène Gijbels,Ilaria Prosdocimi
Jean Jacod,Philip Protter
Thomas Kurtz,Philip Protter
Etienne Pardoux,Philip Protter
Daniel Commenges,Cécile Proust-lima
Hélène Jacqmin-gadda,Cécile Proust-lima
Stefano Favaro,Igor Prünster
Lancelot James,Igor Prünster
Antonio Lijoi,Igor Prünster
Ramsés H. Mena,Igor Prünster
Luis Nieto-barajas,Igor Prünster
Ariel Alonso,Assam Pryseley
Geert Molenberghs,Assam Pryseley
John Panaretos,Stelios Psarakis
Frosso S. Makri,Zaharias M. Psillakis
Norman Draper,Friedrich Pukelsheim
J. Richard Landis,Erik Pulkstenis
Brian Caffo,Naresh Punjabi
Ciprian Crainiceanu,Naresh Punjabi
Edgar Brunner,Madan Puri
Manfred Denker,Madan Puri
George Haiman,Madan Puri
Marc Hallin,Madan Puri
Michel Harel,Madan Puri
Sanpei Kageyama,P. D. Puri
A. K. Nigam,P. D. Puri
Marta Fiocco,Hein Putter
Alina Nicolaie,Hein Putter
Ruiyan Luo,Xin Qi
Deli Li,Yongcheng Qi
Xuewen Lu,Yongcheng Qi
Liang Peng,Yongcheng Qi
George Gabor,Guoqi Qian
R. P. Gupta,Guoqi Qian
Richard Huggins,Guoqi Qian
Ning 1 Li,Guoqi Qian
Ben Haaland,Zhiguang Qian
Bingyi Jing,Gengsheng Qin
Wing Fung,Guoyou Qin
Kashinath Chatterjee,Hong Qin
A. M. Elsawah,Hong Qin
Kai Tai Fang,Hong Qin
Zujun Ou,Hong Qin
Baojiang Chen,Jing Qin
Song Xi Chen,Jing Qin
Dean Follmann,Jing Qin
Zonghui Hu,Jing Qin
Chiung-yu Huang,Jing Qin
Denis Leung,Jing Qin
Gang 2 Li,Jing Qin
Jing Ning,Jing Qin
Wensheng Guo,Li 1 Qin
Qingzhu Lei,Yongsong Qin
Yinghua Li,Yongsong Qin
Jiunn Tzon Hwang,Jing Qiu
Peter Hall,Peihua Qiu
Yicheng Kang,Peihua Qiu
Bruce Lindsay,Annie Qu
Mari Palta,Roger P. Qu
Thomas Capizzi,Hui Quan
Peter Ouyang,Hui Quan
Christian Genest,Jean-françois Quessy
Mhamed Mesfioui,Jean-françois Quessy
Sudipto Banerjee,Harrison Quick
Bradley Carlin,Harrison Quick
Rolando De La Cruz,Fernando Quintana
Héctor W. Gómez,Fernando Quintana
Alejandro Jara,Fernando Quintana
Peter Müller,Fernando Quintana
Michael A. Newton,Fernando Quintana
Rebecca Betensky,Daniel Rabinowitz
Francesco Bertolino,Walter Racugno
Elías Moreno,Walter Racugno
Gareth James,Peter Radchenko
Abdulhamid A. Alzaid,C. Radhakrishna Rao
Gutti Jogesh Babu,C. Radhakrishna Rao
Zhidong Bai,C. Radhakrishna Rao
Chinubal G. Khatri,C. Radhakrishna Rao
Rahul Mukerjee,C. Radhakrishna Rao
Jerome Friedman,Lawrence C. Rafsky
V. E. Akman,Adrian Raftery
Samuel Clark,Adrian Raftery
Nema Dean,Adrian Raftery
Chris Fraley,Adrian Raftery
Patrick Gerland,Adrian Raftery
Tilmann Gneiting,Adrian Raftery
Raphael Gottardo,Adrian Raftery
Jennifer A. Hoeting,Adrian Raftery
David Madigan,Adrian Raftery
Walter T. Federer,Damaraju Raghavarao
Wei 1 Chen,Trivellore Raghunathan
Debashis Ghosh,Trivellore Raghunathan
Niko Kaciroti,Trivellore Raghunathan
Roderick Little,Trivellore Raghunathan
David E. Matthews,Shesh N. Rai
Uttara V. Naik-nimbalkar,M. B. Rajarshi
Walter T. Federer,B. L. Raktoe
H. Pesotan,B. L. Raktoe
Madan Puri,Stefan Ralescu
Subhashis Ghosal,R. V. Ramamoorthi
Jayanta K. Ghosh,R. V. Ramamoorthi
M. B. Rajarshi,T. V. Ramanathan
Gérard Ben Arous,Alejandro Ramírez
David Bellhouse,Jon N. K. Rao
Jiahua Chen,Jon N. K. Rao
Gauri Datta,Jon N. K. Rao
Jürgen Kleffe,Jon N. K. Rao
Sharon Lohr,Jon N. K. Rao
A. K. Nigam,Jon N. K. Rao
Narasimha G. N. Prasad,Jon N. K. Rao
Debasis Kundu,Mohammad Z. Raqab
Mohamed Madi,Mohammad Z. Raqab
Wensheng Guo,Sarah J. Ratcliffe
Kung Yee Liang,Paul J. Rathouz
Ganapati P. Patil,M. V. Ratnaparkhi
Peter Hall,Christian Rau
Meinhard Kieser,Geraldine Rauch
Bani Mallick,Shubhankar Ray
Bruce Lindsay,Surajit Ray
George Fein,Jonathan Raz
Hernando Ombao,Jonathan Raz
Jafar Ahmadi,Mostafa Razmkhah
Donald Lien,David Rearden
Michael E. Miller,Beth A. Reboussin
David B. Allison,David T. Redden
Lajos Horváth,Ron Reeder
William P. Mccormick,Jaxk Reeves
Anthony Pettitt,Rob Reeves
Dipankar 1 Bandyopadhyay,Brian Reich
Howard D. Bondell,Brian Reich
Howard H. Chang,Brian Reich
Montserrat Fuentes,Brian Reich
Jim Hodges,Brian Reich
Brian Caffo,Daniel Reich
Ciprian Crainiceanu,Daniel Reich
Jeff Goldsmith,Daniel Reich
P. K. Cheah,Nancy Reid
David Cox,Nancy Reid
Donald A. S. Fraser,Nancy Reid
James Koziol,Nancy Reid
Rahul Mukerjee,Nancy Reid
Yudi Pawitan,Marie Reilly
Margaret Pepe,Marie Reilly
Andrea S. Foulkes,Muredach P. Reilly
Céline Lévy-leduc,Valderio Anselmo Reisen
Éric Moulines,Valderio Anselmo Reisen
David Faraggi,Benjamin Reiser
Irwin Guttman,Benjamin Reiser
Christian Genest,Bruno Rémillard
Kilani Ghoudi,Bruno Rémillard
Jean-françois Quessy,Bruno Rémillard
Tomasz Burzykowski,Didier Renard
Marc Buyse,Didier Renard
Helena Geys,Didier Renard
Geert Molenberghs,Didier Renard
Sylvie Chevret,Matthieu Resche-rigon
Richard Davis,Sidney Resnick
Laurens De Haan,Sidney Resnick
France Mentré,Sylvie Retout
Endre Csáki,Pál Révész
Miklós Csörgő,Pál Révész
Antónia Földes,Pál Révész
Anthony C. Atkinson,Marco Riani
Andrea Cerioli,Marco Riani
Domenico Perrotta,Marco Riani
Peter Bickel,John Rice
Rameshwar Gupta,Donald Richards
I-li Lu,Donald Richards
